,Unnamed: 0_x,person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,Unnamed: 0_y,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year,pred_lr,pred_dt
159,704,7833,11031715,misdemeanor,violent,2012-11-15,969,2827385,40.71232876712329,F,Black,2018-10-21,0,0.0,0,0,0
3865,696,343162,11472298,misdemeanor,violent,2012-06-13,422,4129776,28.81917808219178,M,Black,2018-03-24,0,0.0,0,0,0
1222,2275,41991,8733899,felony,property,2015-01-13,563,6778366,24.93972602739726,M,White,2016-08-05,0,0.0,4,0,0
1545,1045,51530,1072605,misdemeanor,violent,2019-08-27,770,2916797,32.6958904109589,F,Black,2018-10-03,0,0.0,0,0,0
4340,5753,844881,6293357,misdemeanor,other,2016-12-30,938,2939914,22.983561643835618,M,White,2018-09-30,0,0.0,0,0,0
4363,3311,847667,1663362,misdemeanor,violent,2019-05-09,569,5564259,32.27945205479452,F,Black,2017-07-03,0,0.0,0,0,0
375,4035,13665,583531,felony,violent,2019-12-03,90,6053662,47.84109589041096,M,Black,2017-03-02,1,0.0,1,0,0
1708,1079,56452,11014946,felony,violent,2012-11-21,411,6237431,56.37808219178082,M,Black,2017-01-13,1,0.0,1,0,0
3665,312,320631,5865392,misdemeanor,property,2017-04-20,996,6305418,31.63013698630137,M,Black,2016-12-23,0,0.0,0,0,0
4619,1732,929734,2657582,misdemeanor,property,2018-11-21,297,2971473,40.465753424657535,M,White,2018-09-24,0,0.0,0,0,0
4993,2987,1058203,5802923,misdemeanor,drug,2017-05-07,373,7234140,27.33150684931507,M,Black,2016-04-15,0,0.0,0,0,0
1495,1482,50867,8500293,misdemeanor,drug,2015-03-26,944,5473408,20.72876712328767,M,Black,2017-07-21,0,0.0,1,0,0
1234,5327,41991,19702134,misdemeanor,other,2012-02-06,563,6778366,24.93972602739726,M,White,2016-08-05,0,0.0,4,0,0
5875,1400,1543625,6961930,misdemeanor,violent,2016-06-12,441,4283852,56.85753424657534,M,Black,2018-02-25,0,0.0,0,0,0
2990,3539,92636,2901076,misdemeanor,property,2018-10-08,896,5155920,56.05479452054794,M,Black,2017-09-19,0,0.0,0,0,0
711,2597,25425,1433516,felony,violent,2019-06-18,130,4398368,38.36438356164384,M,White,2018-02-02,1,0.0,2,0,0
4138,5209,540719,2159412,misdemeanor,property,2019-02-27,785,6561693,19.350684931506848,M,Black,2016-10-06,0,0.0,0,0,0
2549,3101,79198,3073383,felony,property,2018-09-05,813,3433327,28.265753424657536,M,White,2018-07-15,0,1.0,2,0,0
143,2297,5684,2464938,misdemeanor,other,2018-12-31,624,3668551,45.38356164383562,M,White,2018-06-01,0,0.0,0,0,0
1772,4407,57529,8055774,felony,other,2015-08-15,153,7224958,25.56438356164384,M,Black,2016-04-17,1,0.0,0,0,0
1984,4563,65745,3219260,misdemeanor,property,2018-08-06,954,2673805,27.67945205479452,M,White,2018-11-19,0,0.0,0,0,0
1278,839,44159,3947994,misdemeanor,drug,2018-04-12,531,4537309,38.42465753424658,M,Black,2018-01-09,0,0.0,0,0,0
6036,5283,1781403,7203601,felony,violent,2016-04-22,832,7203601,24.386301369863013,M,White,2016-04-22,1,0.0,1,0,0
1173,4121,36554,8156929,misdemeanor,violent,2015-07-15,459,6704707,36.23835616438356,M,mixed,2016-08-26,0,0.0,0,0,0
5603,5638,1305475,6891917,felony,drug,2016-07-03,108,6891917,19.0,M,White,2016-07-03,1,0.0,1,0,0
4221,3595,700259,7347268,felony,violent,2016-03-16,97,7347268,42.72328767123288,M,Black,2016-03-16,0,1.0,0,0,0
