,Unnamed: 0_x,person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,Unnamed: 0_y,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
3471,6049,242203,2472356,misdemeanor,property,2018-12-29,829,2472356,20.197260273972603,M,Black,2018-12-29,0,0.0,0
461,5778,15340,10702901,misdemeanor,other,2013-03-16,237,5697246,39.5972602739726,M,White,2017-05-31,0,0.0,0
2034,508,66832,13582607,misdemeanor,drug,2012-07-30,892,4100820,33.62465753424657,M,Black,2018-03-28,0,0.0,1
150,2304,6614,9507855,misdemeanor,other,2014-04-26,107,5913001,25.3972602739726,M,White,2017-04-09,0,0.0,1
3580,6070,277226,4079284,misdemeanor,other,2018-04-01,622,3614608,41.95890410958904,M,mixed,2018-06-12,0,0.0,0
1822,746,59002,9552595,felony,drug,2014-04-11,902,4481139,39.21095890410959,M,Black,2018-01-19,0,0.0,0
5305,1693,1119846,6662305,felony,property,2016-09-07,914,7485908,19.312328767123287,M,Black,2016-02-08,0,0.0,3
6055,2103,1801200,5788931,misdemeanor,violent,2017-05-10,999,5728587,54.44109589041096,M,White,2017-05-26,0,0.0,1
2122,4015,69058,6693430,misdemeanor,violent,2016-08-29,402,7255033,49.24931506849315,F,mixed,2016-04-10,0,0.0,0
4346,5759,844881,6338201,misdemeanor,other,2016-12-14,938,2939914,22.983561643835618,M,White,2018-09-30,0,0.0,0
1438,4765,49237,7599012,felony,drug,2016-01-04,96,6507127,20.09041095890411,M,Black,2016-10-22,0,0.0,0
1474,4796,49882,5038848,felony,drug,2017-10-10,230,3596356,35.18082191780822,M,Black,2018-06-14,1,0.0,1
2476,180,78786,11166324,misdemeanor,violent,2012-09-26,479,6645202,24.15068493150685,M,White,2016-09-12,0,0.0,2
2012,3810,66046,11118403,felony,violent,2012-10-15,909,5057571,24.473972602739725,M,Black,2017-10-06,0,0.0,0
1357,4630,46960,10400824,misdemeanor,other,2013-06-28,99,5915304,24.994520547945207,F,White,2017-04-07,0,0.0,0
3867,4532,343162,9919340,misdemeanor,other,2013-12-09,422,4129776,28.81917808219178,M,Black,2018-03-24,0,0.0,0
4614,882,929734,11422983,misdemeanor,drug,2012-07-01,297,2971473,40.465753424657535,M,White,2018-09-24,0,0.0,0
5665,5296,1309468,8956296,misdemeanor,property,2014-10-21,287,7307171,35.24931506849315,F,White,2016-03-26,0,0.0,0
3985,3973,416390,5871973,felony,violent,2017-04-19,291,6349926,17.438356164383563,M,Black,2016-12-12,1,1.0,1
3122,6057,98350,2904433,misdemeanor,other,2018-10-06,183,4251991,53.772602739726025,M,Black,2018-03-02,0,0.0,1
1592,4542,53858,6806428,misdemeanor,other,2016-07-26,386,6792133,29.10684931506849,M,mixed,2016-08-01,0,0.0,0
1428,690,49237,6341013,misdemeanor,violent,2016-12-13,96,6507127,20.09041095890411,M,Black,2016-10-22,0,0.0,0
6501,4237,3561023,6988269,misdemeanor,violent,2016-06-03,937,6988269,28.46027397260274,F,Black,2016-06-03,0,0.0,0
2794,4917,84823,4304942,misdemeanor,drug,2018-02-20,400,2922877,24.0,M,Black,2018-10-02,0,0.0,3
290,5041,10237,5752355,felony,drug,2017-05-19,516,3013712,26.4986301369863,M,Black,2018-09-16,1,0.0,0
5007,5748,1058804,712150,misdemeanor,property,2019-11-07,874,6215258,38.89315068493151,M,White,2017-01-20,0,0.0,1
438,341,15340,5895654,misdemeanor,drug,2017-04-12,237,5697246,39.5972602739726,M,White,2017-05-31,0,0.0,0
1721,1607,56946,5920258,felony,drug,2017-04-06,786,5140950,38.2027397260274,M,Black,2017-09-21,0,0.0,0
5496,2016,1250624,5982356,misdemeanor,violent,2017-03-22,602,5982356,24.66849315068493,F,Black,2017-03-22,0,0.0,0
666,2473,24904,5198728,misdemeanor,other,2017-09-12,992,5971420,26.78904109589041,F,White,2017-03-26,0,0.0,0
4500,969,910246,5559239,misdemeanor,violent,2017-07-04,596,5559239,40.42739726027397,M,Black,2017-07-04,0,0.0,0
2116,3996,69058,3051482,misdemeanor,property,2018-09-09,402,7255033,49.24931506849315,F,mixed,2016-04-10,0,0.0,0
5708,6249,1352518,3396602,felony,property,2018-07-20,632,3396602,23.51232876712329,M,Other,2018-07-20,0,1.0,0
2380,2868,75570,3740276,misdemeanor,drug,2018-05-19,677,4741552,26.2027397260274,M,White,2017-11-28,0,0.0,0
413,171,14780,1052052,misdemeanor,property,2019-08-31,175,11966928,22.197260273972603,M,White,2016-04-12,0,0.0,1
2042,1327,66936,5628702,misdemeanor,violent,2017-06-17,926,4531245,46.2958904109589,M,Black,2018-01-10,0,0.0,0
842,4049,27249,6478530,misdemeanor,property,2016-11-01,960,6478529,22.87945205479452,M,Black,2016-11-01,0,0.0,3
5924,5486,1609935,7395384,misdemeanor,other,2016-03-02,406,7395386,41.40547945205479,,,2016-03-02,0,0.0,0
1703,5132,56410,3740185,misdemeanor,property,2018-05-19,741,4937826,33.4027397260274,M,Black,2017-10-27,0,0.0,0
4789,4924,990237,4452127,misdemeanor,drug,2018-01-24,854,4452127,21.10958904109589,F,Black,2018-01-24,0,0.0,0
4485,941,909864,7018702,misdemeanor,drug,2016-05-24,80,6892870,22.273972602739725,M,Black,2016-07-02,0,0.0,0
1094,4114,33253,9315925,misdemeanor,property,2014-06-24,649,4284534,24.306849315068494,M,Black,2018-02-25,0,0.0,0
4601,1073,922002,11505285,misdemeanor,violent,2012-06-03,598,2670602,66.56164383561644,M,Black,2018-11-19,0,0.0,0
325,764,13178,8560468,felony,drug,2015-03-09,363,6641052,20.01095890410959,M,Black,2016-09-13,0,0.0,5
1777,6232,57529,7391608,misdemeanor,property,2016-03-03,153,7224958,25.56438356164384,M,Black,2016-04-17,0,0.0,0
2999,3589,92636,7969506,misdemeanor,property,2015-09-10,896,5155920,56.05479452054794,M,Black,2017-09-19,0,0.0,0
4366,3316,847667,8269935,misdemeanor,property,2020-11-05,569,5564259,32.27945205479452,F,Black,2017-07-03,0,0.0,0
4102,2552,539268,3305234,misdemeanor,property,2020-06-21,626,3993384,44.24383561643835,M,White,2018-04-05,0,0.0,0
3105,3615,98350,5404630,misdemeanor,other,2017-08-05,183,4251991,53.772602739726025,M,Black,2018-03-02,0,0.0,1
4664,4756,942846,8297198,misdemeanor,other,2015-06-01,662,7476023,44.3013698630137,M,Black,2016-02-10,0,0.0,0
5217,3280,1075503,6659770,felony,violent,2016-09-08,212,6623957,61.09041095890411,M,Black,2016-09-19,1,0.0,1
1676,1154,56410,8322633,misdemeanor,violent,2015-05-22,741,4937826,33.4027397260274,M,Black,2017-10-27,0,0.0,0
2958,3432,92636,9108449,misdemeanor,property,2014-09-01,896,5155920,56.05479452054794,M,Black,2017-09-19,0,0.0,0
3965,2607,380061,8750376,misdemeanor,drug,2015-01-07,981,7417657,28.87123287671233,F,White,2016-02-25,0,0.0,2
3620,311,316053,5846290,misdemeanor,property,2017-04-25,353,5560634,41.33698630136986,F,White,2017-07-03,0,0.0,0
4607,4843,922587,11519231,misdemeanor,other,2012-05-29,587,7345698,29.36164383561644,M,Black,2016-03-16,0,0.0,0
4357,3036,847667,4477782,misdemeanor,violent,2018-01-21,569,5564259,32.27945205479452,F,Black,2017-07-03,0,0.0,0
5054,118,1063563,11974722,misdemeanor,property,2017-02-13,385,4827776,30.816438356164383,M,White,2017-11-13,0,0.0,0
3091,404,98350,10229063,felony,violent,2013-08-26,183,4251991,53.772602739726025,M,Black,2018-03-02,0,0.0,1
5826,1854,1509614,7603933,misdemeanor,property,2016-01-02,424,7369356,52.19178082191781,M,White,2016-03-09,0,0.0,0
3405,3723,228565,7208240,misdemeanor,violent,2016-04-21,799,7208240,19.350684931506848,M,Black,2016-04-21,0,0.0,0
6308,2812,2874630,2687435,misdemeanor,property,2018-11-16,876,2687435,57.38904109589041,M,White,2018-11-16,0,0.0,0
5929,5743,1609935,586034,misdemeanor,other,2019-12-03,406,7395386,41.40547945205479,,,2016-03-02,0,0.0,0
3276,3835,162419,9440643,felony,drug,2014-05-21,329,7017218,33.38082191780822,M,Black,2016-05-25,0,0.0,0
4050,558,483280,7345291,misdemeanor,property,2016-03-16,691,7165449,21.66575342465753,M,White,2016-05-03,0,0.0,0
6380,4096,3120789,9873496,misdemeanor,property,2020-08-17,907,4550413,32.83835616438356,M,Black,2018-01-06,0,0.0,0
1949,447,65316,11319949,misdemeanor,violent,2012-08-06,429,6863214,36.42739726027397,M,Black,2016-07-08,0,0.0,1
5934,5789,1609935,10702902,misdemeanor,other,2013-03-16,406,7395386,41.40547945205479,,,2016-03-02,0,0.0,0
292,751,10779,8821393,felony,violent,2014-12-09,951,5329404,29.78356164383561,F,Black,2017-08-19,0,0.0,0
1062,4156,32779,6049457,felony,drug,2017-03-03,261,6049457,27.38082191780822,M,Black,2017-03-03,0,0.0,1
